batch_size,noise_multiplier,steps,epsilon,delta,optimal_alpha
64,0.5,100,3.5702830217145136,2e-05,3.6
64,0.5,500,4.1258402253142865,2e-05,3.4000000000000004
64,0.5,1000,4.491205929884663,2e-05,3.3000000000000003
64,1.0,100,0.6114172808961292,2e-05,13.0
64,1.0,500,0.625647592858543,2e-05,13.0
64,1.0,1000,0.6434354828115602,2e-05,13.0
64,2.0,100,0.11434977143476459,2e-05,53.0
64,2.0,500,0.12105807006751153,2e-05,53.0
64,2.0,1000,0.12761328997880778,2e-05,52.0
128,0.5,100,4.378169525986344,2e-05,3.3000000000000003
128,0.5,500,5.398744867872846,2e-05,3.0
128,0.5,1000,6.13149242713187,2e-05,2.8000000000000003
128,1.0,100,0.7139992232720809,2e-05,12.0
128,1.0,500,0.7815871030034119,2e-05,11.0
128,1.0,1000,0.8162960846499575,2e-05,11.0
128,2.0,100,0.13464073899755946,2e-05,47.0
128,2.0,500,0.15317367389771916,2e-05,47.0
128,2.0,1000,0.17633984252291876,2e-05,47.0
256,0.5,100,5.612392612890628,2e-05,2.9000000000000004
256,0.5,500,7.630313150817188,2e-05,2.6
256,0.5,1000,9.15433794331897,2e-05,2.4000000000000004
256,1.0,100,0.8732849611320082,2e-05,10.0
256,1.0,500,1.0014264540950317,2e-05,9.9
256,1.0,1000,1.1444133152542064,2e-05,9.7
256,2.0,100,0.16930790494492198,2e-05,41.0
256,2.0,500,0.23468935331549856,2e-05,41.0
256,2.0,1000,0.3162555594404175,2e-05,40.0
